date,zip,confirmed_cases,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-4-20,60467,60,0,0,0,0,9,11,9,10,12,24,35,0,31,0,17,0,0,0,0,0
2020-4-20,60468,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2020-4-20,60469,19,0,0,7,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,0,0
2020-4-20,60471,92,0,0,0,16,23,16,17,10,0,40,51,0,0,71,17,0,0,0,0,0
2020-4-20,60472,36,0,0,7,0,8,8,7,0,0,24,12,0,0,18,14,0,0,0,0,0
2020-4-20,60473,172,0,0,12,15,19,33,44,28,18,73,99,0,17,106,38,0,0,0,0,0
2020-4-20,60475,38,0,0,7,0,0,10,0,6,0,19,19,0,11,14,9,0,0,0,0,0
2020-4-20,60477,68,0,0,9,12,11,14,14,7,0,22,40,6,23,6,27,0,0,0,0,0
2020-4-20,60478,119,0,0,13,15,20,18,24,18,9,50,69,0,7,88,21,0,0,0,0,0
2020-4-20,60480,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0
2020-4-20,60481,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2020-4-20,60482,22,0,0,0,0,0,8,0,0,0,8,14,0,7,0,11,0,0,0,0,0
2020-4-20,60484,50,0,0,0,9,12,15,0,0,0,18,32,0,0,35,13,0,0,0,0,0
2020-4-20,60487,48,0,0,8,0,11,9,9,0,0,21,27,0,20,0,16,0,7,0,0,0
2020-4-20,60490,62,0,0,8,0,14,19,10,0,0,32,30,0,17,13,16,0,6,7,0,0
2020-4-20,60491,65,0,0,8,9,10,20,9,6,0,38,27,0,27,0,29,0,0,0,0,0
2020-4-20,60501,39,0,0,7,0,14,6,0,0,0,21,18,0,12,0,10,0,0,11,0,0
2020-4-20,60502,25,0,0,0,0,7,6,0,0,0,13,12,0,8,0,0,0,0,0,0,0
2020-4-20,60503,13,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
2020-4-20,60504,48,0,0,7,0,10,15,11,0,0,29,18,0,13,14,7,0,6,0,0,0
2020-4-20,60505,100,0,0,20,11,19,30,12,0,0,52,48,0,6,7,17,0,0,67,0,0
2020-4-20,60506,116,0,0,9,16,22,24,17,13,14,63,53,0,33,17,7,8,0,48,0,0
2020-4-20,60510,17,0,0,0,6,0,0,0,0,0,10,6,0,6,0,0,0,0,0,0,0
2020-4-20,60513,52,0,0,0,10,12,12,6,0,0,24,28,0,24,0,19,0,0,6,0,0
2020-4-20,60514,25,0,0,6,0,0,7,0,0,0,11,14,0,10,0,7,0,0,0,0,0
2020-4-20,60515,26,0,0,0,6,0,7,0,0,0,9,17,0,17,0,0,0,0,0,0,0
2020-4-20,60516,32,0,0,0,7,0,6,9,0,0,15,17,0,18,0,10,0,0,0,0,0
2020-4-20,60517,64,0,0,0,11,16,13,9,6,0,31,33,0,23,8,23,0,0,6,0,0
2020-4-20,60521,30,0,0,0,0,0,0,11,0,0,16,14,0,12,0,8,0,0,0,0,0
2020-4-20,60523,34,0,0,0,0,0,0,8,0,9,15,19,0,18,0,8,0,0,0,0,0
2020-4-20,60525,84,0,0,8,8,19,12,18,7,10,39,44,0,41,12,19,0,0,9,0,0
2020-4-20,60526,26,0,0,0,0,6,0,0,0,7,12,13,0,16,0,0,0,0,0,0,0
2020-4-20,60527,132,0,0,9,8,12,13,23,22,45,55,76,0,57,9,40,8,8,9,0,0
2020-4-20,60532,34,0,0,0,8,6,6,6,0,6,18,16,0,16,6,8,0,0,0,0,0
2020-4-20,60534,31,0,0,0,0,6,0,6,0,0,17,14,0,9,0,7,6,0,9,0,0
2020-4-20,60538,27,0,0,0,0,6,10,0,0,0,12,14,0,16,0,0,0,0,7,0,0
2020-4-20,60540,32,0,0,0,6,8,0,6,0,0,11,21,0,14,0,11,0,0,0,0,0
2020-4-20,60542,16,0,0,0,6,0,0,0,0,0,8,8,0,0,0,0,0,0,6,0,0
